label,file_size,number_of_sections,file_characteristics,imagebase,dll_characteristics,size_of_image,size_of_headers,size_of_code,Check_for_Debugger,contain_bitcoin_address,is_packed,ransomware_command_indicator,suspicious_technique_indicator,contain_monero_address,contain_onion_address,using_encryption_library,ransomware_string_indicator,suspicious_entropy_and_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,max_section_size,min_section_size,mean_section_size,is_gui,imported_dll_count,imported_function_count,exported_function_count
ransomware,56832,5,258,4194304,33088,77824,1024,34304,0,0,0,0,0,0,0,0,0,0,0,2,7.835200976730417,5.2778312416346775,6.314850507438141,34304,1536,11161.6,1,9,111,0
ransomware,350720,11,33166,4194304,0,405504,1024,254976,0,0,0,1,1,0,0,1,0,0,3,5,7.827818566900217,0.0,4.0218910757962325,245760,0,31790.545454545456,1,10,142,2
ransomware,171008,5,258,4194304,33024,458752,1024,55808,1,0,0,0,0,0,0,0,0,0,3,1,7.853608098789088,3.581952272872551,5.822297839675906,75264,5120,33996.8,1,4,84,0
ransomware,5484032,5,34,5368709120,33120,5496832,1024,3656704,1,1,0,0,1,1,0,1,1,0,10,2,6.4182462870283965,2.375928556954518,5.178976274135236,3656704,12800,1096601.6,0,18,186,0
ransomware,2336768,6,770,4194304,33088,2527232,1024,1208320,1,0,0,1,1,1,0,1,1,0,8,2,6.676430258091644,0.020393135236084953,4.7861649263235755,1208320,512,389290.6666666667,0,1,39,0
ransomware,4777351,3,38,5368709120,352,6926336,512,2142208,1,0,0,0,0,0,0,1,0,1,5,2,7.94473719106872,0.0,4.290680192157564,2140672,0,714240.0,0,9,12,0
ransomware,1710592,12,33679,4194304,0,4800512,1024,2723328,0,0,1,0,0,0,0,0,0,1,10,7,7.9996845292269985,0.0,4.568179498503955,928768,0,142464.0,0,18,20,1
ransomware,8168448,7,271,4194304,32768,25818112,1024,6694912,0,0,0,0,0,0,0,0,0,1,1,6,7.99168669953548,0.26077127604825584,4.228164246355733,4300800,512,1166336.0,1,3,4,3
ransomware,350720,11,33166,4194304,0,405504,1024,254976,0,0,0,1,1,0,0,1,0,0,3,5,7.827818566900217,0.0,4.0218927991958955,245760,0,31790.545454545456,1,10,142,2
ransomware,150016,5,258,4194304,33088,167936,1024,93184,1,0,0,1,0,0,0,1,0,0,5,1,6.607561243599436,1.8252765940266158,4.933209252679367,93184,512,29798.4,0,6,126,0
ransomware,168960,4,258,4194304,33088,184320,1024,120832,1,0,0,0,0,0,0,1,0,0,4,1,6.636538725072833,2.059849109552779,5.191229503998404,120832,2560,41984.0,0,9,162,0
ransomware,1076736,7,34,5368709120,33120,1105920,1024,833024,1,0,0,0,0,1,1,1,1,0,5,3,6.458401254783135,3.2741016144496142,5.132365321974062,833024,512,153673.14285714287,1,9,155,0
ransomware,729600,6,34,5368709120,33120,94208,1024,47616,1,0,0,0,0,1,0,1,1,1,5,2,6.248595927910601,3.018723816621419,4.4693005832445785,47616,512,12970.666666666666,0,11,135,0
ransomware,117000,5,258,4194304,33088,126976,1024,16384,1,0,0,0,0,0,0,1,0,1,3,1,6.37949443840938,0.7536341326714706,4.775862665734752,89088,512,22425.6,1,7,91,0
ransomware,76803,3,8450,268435456,34112,65536,512,37376,0,0,0,0,0,0,0,0,0,1,1,0,7.880843669028706,0.07763316234324169,3.496342022826056,37376,512,12970.666666666666,0,1,1,0
ransomware,2717184,9,559,4194304,0,2752512,1024,2072576,0,0,0,0,0,1,0,1,0,0,2,4,6.230022968617695,0.0,3.331540047702018,2072576,0,301795.55555555556,0,3,169,0
ransomware,172400,6,258,4194304,33088,172032,1024,64000,0,0,0,0,0,0,0,0,0,1,1,1,6.544025344860404,0.24669804171027127,4.0441854225691705,78336,512,25258.666666666668,1,5,146,0
ransomware,498176,11,34,4194304,0,577536,1024,363520,0,0,0,1,1,0,0,1,0,0,3,5,7.825119293715,0.0,3.5996184831928404,363520,0,45195.63636363636,1,10,143,2
ransomware,117248,2,34,4194304,34144,139264,512,90624,0,0,1,0,0,0,0,1,0,1,3,0,6.130148382598402,5.027506161240411,5.5788272719194065,90624,26112,58368.0,1,0,0,0
ransomware,347648,11,33166,4194304,0,405504,1024,252416,0,0,0,1,1,0,0,1,0,0,3,5,7.826183703546523,0.0,4.0102369229973,243200,0,31511.272727272728,1,10,142,2
ransomware,413184,10,558,4194304,352,442368,1024,351744,1,0,0,0,0,1,0,1,0,0,4,4,6.2555724303165094,0.0,3.3666868031461297,351744,0,41216.0,0,6,132,0
ransomware,396288,4,259,4194304,0,409600,1024,49664,0,0,0,0,0,0,0,0,0,1,1,1,7.813923857717711,4.639698222820729,6.409494595890363,300544,13824,98816.0,1,5,68,0
ransomware,970752,5,258,4194304,49472,995328,1024,711680,1,0,0,0,0,0,0,1,0,0,4,1,6.5821572848243415,4.7176788329467545,5.570051796866028,711680,512,193945.6,0,2,139,0
ransomware,39463,1,8226,0,352,45056,512,0,0,0,0,0,0,0,0,0,0,1,1,0,7.888620964795726,7.888620964795726,7.888620964795726,38912,38912,38912.0,0,0,0,0
ransomware,155648,4,271,4194304,0,221184,4096,106496,1,0,0,0,0,0,0,0,0,1,3,1,6.632626379099484,3.6708598820441365,5.530943800182207,106496,4096,37888.0,1,11,100,0
ransomware,94724,3,259,4194304,34048,102400,1024,40448,0,0,0,0,0,0,0,0,0,1,1,1,7.983011083943718,5.965306229244432,7.244452642191146,43008,10240,31232.0,0,1,9,0
ransomware,381952,5,8450,268435456,320,397312,1024,212992,1,0,0,0,1,0,0,1,0,0,7,1,7.59343098685053,4.7790874807546855,6.084091873581302,212992,512,76185.6,1,12,195,3
ransomware,3723264,4,271,4194304,0,6729728,4096,36864,1,1,0,0,0,0,0,1,0,1,7,1,6.1345234015658825,3.503615586181224,5.321768820355122,3518464,4096,929792.0,1,7,91,0
ransomware,1629696,8,33166,4194304,0,1658880,1024,1299968,1,0,1,0,0,0,0,1,0,0,3,5,6.718509282923104,0.0,3.7640638603846797,1299968,0,203584.0,1,18,430,0
ransomware,94704,3,259,4194304,34048,102400,1024,40448,0,0,0,0,0,0,0,0,0,0,0,1,7.9821003815183404,5.965306229244432,7.24414907471602,43008,10240,31232.0,0,1,9,0
ransomware,991232,3,34,140702418468864,33120,1208320,512,53248,0,0,0,0,0,0,0,0,0,1,1,1,2.0833892973563795,1.6038327605259324,1.861236480325091,940544,512,330240.0,1,0,0,0
ransomware,350720,11,33166,4194304,0,405504,1024,254976,0,0,0,1,1,0,0,1,0,0,3,5,7.827818566900217,0.0,4.021892300805153,245760,0,31790.545454545456,1,10,142,2
ransomware,229391,5,258,4194304,33088,253952,1024,161280,1,0,0,0,0,0,0,1,0,1,5,1,6.715453396136809,4.7176788329467545,5.743307981091648,161280,512,45568.0,1,7,134,0
ransomware,668672,8,258,4194304,33088,704512,1024,463360,1,0,0,0,0,0,0,1,0,0,4,2,6.664443164570187,0.020393135236084953,4.750325054681008,443904,512,83456.0,1,6,156,0
ransomware,668672,8,258,4194304,33088,704512,1024,463360,1,0,0,0,0,0,0,1,0,0,4,2,6.664443164570187,0.020393135236084953,4.750325054681008,443904,512,83456.0,1,6,156,0
ransomware,6873088,4,271,4194304,0,7020544,4096,606208,1,0,0,0,0,0,0,1,1,1,7,1,7.734119050112312,5.006872044547959,6.301206603359361,6086656,73728,1717248.0,1,12,416,0
ransomware,669184,8,258,4194304,33088,704512,1024,463872,1,0,0,0,0,0,0,1,0,0,4,2,6.664443164570187,0.020393135236084953,4.752842788343587,443904,512,83520.0,1,6,156,0
ransomware,377856,3,258,4194304,34144,401408,512,375808,0,0,0,0,0,0,0,1,0,0,1,0,6.949507146364391,0.10191042566270775,3.4689704210851033,375808,512,125781.33333333333,1,1,1,0
ransomware,350720,11,33166,4194304,0,405504,1024,254976,0,0,0,1,1,0,0,1,0,0,3,5,7.827818566900217,0.0,4.021893794933253,245760,0,31790.545454545456,1,10,142,2
ransomware,58880,5,258,4194304,33088,73728,1024,3584,1,0,0,0,0,0,0,1,0,0,4,1,5.97198013898813,0.35275948821577235,3.7879830209611796,50176,512,11571.2,1,4,51,0
ransomware,4961280,6,271,4194304,0,7933952,1024,6144,1,0,1,0,0,0,0,1,0,1,4,3,7.950685924025157,0.0,1.636370501745129,4959744,0,826709.3333333334,1,12,197,0
ransomware,1245696,11,558,5368709120,352,1294336,1024,1040384,1,0,0,0,1,0,1,1,1,0,9,4,6.187206353423011,0.0,3.4320049398402133,1040384,0,113152.0,0,7,166,0
ransomware,1322496,5,258,4194304,33088,3457024,1024,976896,1,0,0,0,0,1,0,1,0,1,7,1,7.069451913852574,4.794046892657293,5.715042661088173,976896,512,264089.6,0,5,142,0
ransomware,243215,5,258,4194304,33088,270336,1024,160768,1,0,0,0,0,0,0,1,0,1,5,1,6.716167958575302,4.4953831093712795,5.614738196281296,160768,512,48332.8,1,7,130,0
ransomware,352328,4,271,4194304,0,417792,4096,126976,1,0,0,0,0,0,0,0,0,1,4,1,7.113736170910589,3.783860925183115,5.604225280634994,126976,8192,87040.0,1,14,138,0
ransomware,1629696,8,33166,4194304,0,1658880,1024,1299968,1,0,1,0,0,0,0,1,0,0,3,5,6.718526677627389,0.0,3.764066034722715,1299968,0,203584.0,1,18,430,0
ransomware,1256448,5,258,4194304,33088,1277952,1024,1112576,1,0,0,0,0,0,1,1,1,0,6,1,6.673880525624463,2.960480212359156,4.954439974073871,1112576,512,251084.8,0,4,103,0
ransomware,749056,3,258,4194304,34144,778240,512,525312,0,0,1,0,0,0,0,1,1,1,4,0,7.987383691562536,0.10191042566270775,4.188547534342598,525312,512,249514.66666666666,1,1,1,0
ransomware,4443160,6,34,5368709120,33120,4505600,1024,3195392,1,0,0,1,1,1,0,1,0,1,8,2,6.884299884942742,4.642717197236677,5.673182047756203,3195392,35840,740352.0,1,9,247,0
ransomware,150016,6,258,4194304,33088,163840,1024,99328,0,0,0,0,0,0,0,0,0,0,0,3,7.987062072368195,2.9337361310958805,5.941681253932265,97792,1536,24832.0,1,3,24,0
ransomware,1081344,7,34,5368709120,33120,1114112,1024,837120,1,0,0,0,0,1,1,1,1,0,5,3,6.4550271324585,3.3593583741679534,5.135333203333223,837120,512,154331.42857142858,1,9,155,0
ransomware,241664,3,258,4194304,33088,561152,4096,241664,0,0,1,0,0,0,0,0,0,1,7,3,7.924813224634456,0.0,3.787283420792939,240128,0,80213.33333333333,0,5,8,0
ransomware,44032,3,258,4194304,34112,65536,512,36864,0,0,0,0,0,0,0,1,0,0,1,0,5.0936559127921734,0.08153941234324169,3.3923335326825756,36864,512,14506.666666666666,1,1,1,0
ransomware,299520,3,290,4194304,34144,327680,512,297472,0,0,1,0,0,0,0,1,0,1,3,0,7.984142544619124,0.10191042566270775,3.6283327978264235,297472,512,99669.33333333333,0,1,1,0
ransomware,34848,3,258,4194304,33088,94208,512,36864,0,0,1,0,0,0,0,0,0,1,7,3,7.841458659455406,0.0,3.369135043737682,33792,0,11434.666666666666,1,3,6,0
ransomware,4513792,5,271,4194304,0,4513792,4096,0,1,1,0,0,0,0,1,1,1,1,13,3,7.982581918135945,1.9685922801508136,5.735590968636922,3657728,4096,901939.2,1,17,444,0
ransomware,8044544,6,546,4194304,33120,8466432,1536,3618304,1,0,0,1,1,1,0,1,1,1,17,2,6.146305699188767,0.020393135236084953,4.435872002529732,3869696,512,1340501.3333333333,0,1,40,0
ransomware,16896,4,258,4194304,33088,32768,1024,8704,1,0,0,0,0,0,0,1,0,0,4,1,6.075674822837327,3.935950081258863,5.11573403241567,8704,1024,3968.0,0,16,96,0
ransomware,351744,3,258,4194304,34112,376832,512,297984,0,0,0,1,1,0,0,1,0,0,3,0,4.200251940111625,0.10191042566270775,1.9666106503915435,297984,512,117077.33333333333,1,1,1,0
ransomware,2040513,17,39,4194304,0,1159168,1536,462336,1,0,0,0,1,0,0,1,0,1,4,12,6.231263111774214,0.0,3.4306689476503816,462336,0,65264.94117647059,0,3,151,0
ransomware,1074688,7,34,5368709120,33120,1101824,1024,831488,1,0,0,0,0,1,1,1,1,0,5,3,6.455672443789394,3.276079319742529,5.12861839358452,831488,512,153380.57142857142,1,9,154,0
ransomware,73728,5,8450,12779520,320,73728,4096,33792,0,0,0,0,0,0,1,1,1,1,4,2,6.402096807883625,0.07401330299052464,3.788614224928099,36864,4096,13926.4,1,2,22,1
ransomware,9574400,3,258,4194304,34112,9601024,512,9571840,0,0,0,1,1,0,0,1,0,0,3,0,3.738963945475265,0.10191042566270775,2.2820069858657317,9571840,512,3191296.0,1,1,1,0
ransomware,104981,6,258,4194304,33088,122880,1024,64000,1,0,0,1,0,0,0,1,0,1,6,2,7.311308878384575,0.16299007530476972,5.020917681061657,64000,512,17322.666666666668,1,6,106,0
ransomware,2527232,4,271,4194304,0,2740224,4096,589824,1,0,0,0,0,0,0,1,0,1,5,1,7.321671829133887,5.363418549252924,6.182990761493414,1802240,32768,630784.0,1,14,430,0
ransomware,557056,6,34,5368709120,33120,573440,1024,382976,1,0,0,0,0,1,0,1,0,0,5,3,6.4070286517312685,2.0564154151016796,4.68895878424597,382976,512,92672.0,0,4,126,0
ransomware,2702848,3,270,4194304,34144,2727936,512,2698240,1,0,1,0,0,0,0,1,1,1,7,0,7.747441745653209,0.10191042566270775,4.310009424967807,2698240,512,900778.6666666666,1,1,1,0
ransomware,6670336,4,259,4194304,32768,6696960,1024,137216,1,1,0,0,0,0,0,1,1,0,6,1,6.637924320948062,0.46344055810973983,4.216669052215363,6492160,7168,1667328.0,0,4,136,0
ransomware,182272,6,258,4194304,33088,200704,1024,139264,1,0,0,0,0,0,0,1,0,0,4,2,6.546293071753435,2.3039827565333395,4.622122178934296,139264,512,30208.0,1,3,73,0
ransomware,346624,11,33166,4194304,0,405504,1024,251392,0,0,0,1,1,0,0,1,0,0,3,5,7.826940958482753,0.0,4.009976026425507,242176,0,31418.18181818182,1,10,142,2
ransomware,29696,3,258,4194304,34112,57344,512,27136,0,0,0,1,1,0,0,1,0,0,4,0,5.319808046569769,0.08153941234324169,3.038674499596565,27136,512,9728.0,1,1,1,0
ransomware,100352,6,8450,268435456,320,114688,1024,60928,1,0,0,1,0,0,0,1,0,0,5,2,7.32577122057692,0.15908382530476972,5.088378827023586,60928,512,16554.666666666668,1,6,98,1
ransomware,253440,3,258,4194304,34112,278528,512,250880,0,0,0,1,1,0,0,1,0,0,3,0,4.209467371876438,0.10191042566270775,2.6910652022763784,250880,512,84309.33333333333,1,1,1,0
ransomware,5333010,20,38,5368709120,352,1736704,1536,864768,1,0,0,0,0,0,0,1,0,1,6,13,6.174791606048068,0.0,4.020982163145456,864768,0,83712.0,0,4,157,0
ransomware,5333010,20,38,5368709120,352,1736704,1536,864768,1,0,0,0,0,0,0,1,0,1,6,13,6.174791606048068,0.0,4.020982163145456,864768,0,83712.0,0,4,157,0
ransomware,350720,11,33166,4194304,0,405504,1024,254976,0,0,0,1,1,0,0,1,0,0,3,5,7.827818566900217,0.0,4.021891870228156,245760,0,31790.545454545456,1,10,142,2
ransomware,93696,3,34,4194304,34144,122880,512,90624,0,0,0,0,0,0,0,0,0,1,1,0,7.717426331246352,0.10191042566270775,3.75930126387865,90624,512,31061.333333333332,1,1,1,0
