label,number_of_sections,entry_point,dll_characteristics,Check_for_Debugger,manipulate_user_auth,can_download_execute_components,C2_indicator,ConventionEngine_indicator,contain_crypto_address,suspicious_imphash,is_packed,ransomware_command_indicator,suspicious_technique_indicator,can_access_network_share,contain_tor_link,ransomware_string_indicator,use_security_base_api,manipulates_system_shell,cmd_powershell_usage_indicator,suspicious_entropy_and_indicator,use_win_base_api,files_directories_manipulation,retrieves_account_information,using_encryption_library,use_http_services,supports_windows_networking,can_create_process_and_threads,can_manipulate_windows_registry,can_send_receive_data,can_manipulate_windows_services,performs_gui_actions,yaraify_indicator,yara_match_count,unique_section_names,max_entropy,min_entropy,mean_entropy,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanRawsize,SectionsMinVirtualsize,SectionMaxVirtualsize,SectionsMeanVirtualsize,chi2_max,chi2_min,chi2_mean,chi2_global,imported_dll_count,imported_function_count,exported_function_count
ransomware,3,402822,34144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,7.246863702794704,0.1019104256627077,4.613187522988711,512,394752,141312.0,12,394644,141048.0,2000357.757457848,128015.0,807814.0620097589,2128835.404101328,1,1,0
ransomware,5,12199,33088,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,12,2,7.835200976730417,5.2778312416346775,6.314850507438141,1536,34304,11161.6,1518,34200,12685.4,165247.38805970165,11004.714285714284,74479.29546908315,276470.1351351352,9,111,0
ransomware,7,127228,33120,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,17,3,6.369853143429912,2.4687032572822423,4.521456968497165,512,252416,39350.857142857145,244,252060,40000.28571428572,2837961.886409736,9295.0,551696.343716797,3501226.0203703707,7,140,0
ransomware,4,18905,33024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,9,1,7.520094268788261,3.8216723604986393,5.68412244065372,6656,107520,61056.0,15460,107515,63134.75,1232694.4230769246,270776.7277227723,660191.1203922317,1559348.7390396658,2,88,0
ransomware,4,39996,33088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,12,1,7.670636836967445,3.306748476020408,6.078167144700474,3584,94720,45952.0,3576,94688,47791.0,521208.7777777783,14719.2857142857,277572.6345182434,1259351.5131945163,2,70,0
ransomware,3,359750,34112,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0,5.68369130450311,0.1019104256627077,3.294147095456882,512,351744,118101.33333333331,12,351564,117781.66666666669,5480561.12372635,101210.5,1903262.2079087836,5620883.857142865,1,1,0
ransomware,7,5216,320,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,11,4,5.914389167746834,0.0611628522411544,3.871207292271665,512,389120,112054.85714285714,260,394860,112600.57142857143,5336916.69631902,129030.0,1925710.398916774,6826720.330508474,1,94,3
ransomware,5,21328,34112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,4,1,5.885537347855441,1.362020848277842,4.302771512876772,1024,94720,20480.0,724,94234,20207.6,1363502.502702703,13109.0,481497.20054054016,1448217.5906181715,3,11,0
ransomware,9,5328,352,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,13,4,7.944990269860217,0.0,3.87531862574594,0,302080,47559.11111111111,104,302008,51040.0,2046946.5499999968,0.0,558271.283463711,3414239.4188544205,4,135,0
ransomware,5,54224,32768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,11,1,7.99485274933224,0.0,4.877383331806405,512,599552,168038.4,5,756616,199194.6,1953275.1850828736,6039.3740392826685,818080.6128891334,1082297.281192939,3,180,0
