label,number_of_sections,entry_point,dll_characteristics,contain_crypto_address,is_packed,ransomware_command_indicator,suspicious_technique_indicator,contain_tor_link,using_encryption_library,ransomware_string_indicator,suspicious_entropy_and_indicator,Check_for_Debugger,yara_match_count,is_signed,is_cert_valid,unique_section_names,max_entropy,min_entropy,mean_entropy,SectionsMinRawsize,SectionMaxRawsize,SectionsMeanRawsize,SectionsMinVirtualsize,SectionMaxVirtualsize,SectionsMeanVirtualsize,imported_dll_count,imported_function_count,exported_function_count,blint_guard_cf,blint_high_entropy_va,blint_no_bind,blint_no_seh,blint_nx_compat
ransomware,5,12199,33088,0,0,0,0,0,0,0,0,0,0,0,0,2,7.835200976730417,5.2778312416346775,6.314850507438141,1536,34304,11161.6,1518,34200,12685.4,9,111,0,0,0,0,0,1
ransomware,7,5216,320,1,0,0,0,0,1,0,0,1,7,0,0,4,5.914389167746834,0.0611628522411544,3.871207292271665,512,389120,112054.85714285714,260,394860,112600.57142857143,1,94,3,0,0,0,0,1
ransomware,9,5328,352,0,0,0,0,1,1,1,0,1,7,0,0,4,7.944990269860217,0.0,3.87531862574594,0,302080,47559.11111111111,104,302008,51040.0,4,135,0,0,1,0,0,1
ransomware,9,202456,320,0,1,0,0,0,1,0,0,1,4,0,0,3,7.593182591752391,0.0,3.3491181500460496,0,188928,24291.555555555555,0,1068380,142774.88888888888,15,183,0,0,0,0,0,1
ransomware,11,251344,0,0,0,1,1,0,1,0,0,0,3,0,0,5,7.827818566900217,0.0,4.0218910757962325,0,245760,31790.545454545456,20,245292,33873.27272727273,10,142,2,0,0,0,0,0
ransomware,5,12779,33024,0,0,0,0,0,0,0,0,1,3,0,0,1,7.853608098789088,3.581952272872551,5.822297839675906,5120,75264,33996.8,4644,350528,88800.0,4,84,0,0,0,0,0,1
ransomware,5,25840,1024,0,0,0,0,0,1,0,0,0,1,0,0,2,7.953638552652912,0.0,4.28700162015428,0,30208,8294.4,664,80548,24112.2,6,114,0,0,0,0,1,0
ransomware,5,3587084,33120,1,0,0,1,0,1,1,0,1,10,0,0,2,6.4182462870283965,2.375928556954518,5.178976274135236,12800,3656704,1096601.6,13072,3656511,1096509.4,18,186,0,0,1,0,0,1
ransomware,3,43472,34048,0,0,0,0,0,0,0,0,0,0,0,0,1,7.982634624207218,5.965306229244432,7.244327155612313,10240,43008,31232.0,9782,43733,31162.666666666668,1,9,0,0,0,0,1,1
ransomware,5,176704,33088,0,0,0,1,1,1,0,1,1,8,0,0,2,6.690722886537073,0.0,3.3385795417851147,2560,78848,32870.4,5252,78648,34017.8,7,119,0,0,0,0,0,1
ransomware,6,21464,32864,0,0,0,0,1,1,1,0,1,4,0,0,3,6.263509463819587,0.0,3.0521589010934385,0,27136,11178.666666666666,136,26905,11308.833333333334,12,125,0,0,1,0,0,0
ransomware,8,152680,0,0,1,0,1,0,1,1,1,1,6,1,0,5,6.594428048448981,0.0,3.320827999764384,0,230400,50432.0,8,230020,50722.625,22,249,0,0,0,0,0,0
ransomware,6,392912,33088,1,0,1,1,0,1,1,0,1,8,0,0,2,6.676430258091644,0.0203931352360849,4.786164926323576,512,1208320,389290.6666666667,4,1208265,418780.5,1,39,0,0,0,0,0,1
ransomware,4,50387,33088,0,0,0,0,1,1,0,0,1,5,0,0,1,6.717652991509657,2.4755371621255278,5.2768533660594175,5632,93696,36224.0,5392,93685,38890.25,8,122,0,0,0,0,0,1
ransomware,5,43968,34112,0,0,1,1,0,1,0,0,0,3,0,0,1,5.76936518164626,0.1144633812591388,4.034326619663197,512,74752,15974.4,8,74281,15669.4,7,80,0,0,0,0,1,1
ransomware,4,28570,0,0,0,0,0,0,1,0,1,1,3,1,0,1,7.993200096056813,4.096345820761993,6.186744419320779,8192,163840,56320.0,5804,162708,54325.5,5,87,0,0,0,0,0,0
ransomware,3,6919616,352,0,0,0,0,0,1,0,1,1,5,0,0,2,7.94473719106872,0.0,4.290680192157564,0,2140672,714240.0,4096,4775936,2307413.333333333,9,12,0,0,1,0,0,1
ransomware,12,4788225,0,0,1,0,0,0,0,0,1,0,10,0,0,7,7.9996845292269985,0.0,4.568179498503955,0,928768,142464.0,68,2715648,399077.0,18,20,1,0,0,0,0,0
ransomware,7,17653936,32768,0,0,0,0,0,0,0,1,0,1,0,0,6,7.99168669953548,0.2607712760482558,4.228164246355733,512,4300800,1166336.0,4096,9265152,3687248.0,3,4,3,0,0,0,0,0
ransomware,4,50387,33088,0,0,0,0,1,1,0,0,1,5,0,0,1,6.717652991509657,2.4755371621255278,5.2768533660594175,5632,93696,36224.0,5392,93685,38890.25,8,122,0,0,0,0,0,1
ransomware,5,49568,34368,0,0,0,0,0,0,0,0,0,0,0,0,1,7.907526306723195,2.204724595510392,5.467150507763063,1024,59904,13926.4,808,59813,14249.4,1,1,0,0,0,0,1,0
ransomware,3,402822,34144,0,0,0,0,0,1,0,1,0,2,0,0,0,6.739074299257735,0.1019104256627077,3.4250872660147214,512,394752,141312.0,12,394644,141048.0,1,1,0,0,1,0,1,1
ransomware,3,20334,34144,0,0,0,0,0,1,0,0,0,1,0,0,0,5.590438742476578,0.0815394123432416,3.2556237099886776,512,12288,4778.666666666667,12,12148,4542.666666666667,1,1,0,0,1,0,1,1
ransomware,5,30810,33088,0,0,1,0,0,1,0,0,1,5,0,0,1,6.607561243599436,1.825276594026616,4.933209252679367,512,93184,29798.4,480,92755,30667.8,6,126,0,0,0,0,0,1
ransomware,7,313928,33120,0,0,1,0,1,1,1,0,1,6,0,0,3,6.488151360731739,3.371985068881099,4.990132119414836,512,528896,104667.42857142857,348,528700,105666.0,7,150,0,0,1,0,0,1
